DATE,CUUR0000SEHA
01/01/2002,197
01/02/2002,197.7
01/03/2002,198.2
01/04/2002,198.5
01/05/2002,198.8
01/06/2002,199.3
01/07/2002,199.8
01/08/2002,200.2
01/09/2002,200.7
01/10/2002,201.3
01/11/2002,202
01/12/2002,202.5
01/01/2003,203.3
01/02/2003,203.7
01/03/2003,204.1
01/04/2003,204.5
01/05/2003,204.9
01/06/2003,205.1
01/07/2003,205.6
01/08/2003,206.1
01/09/2003,206.6
01/10/2003,206.9
01/11/2003,207.5
01/12/2003,207.9
01/01/2004,208.3
01/02/2004,208.8
01/03/2004,209.2
01/04/2004,209.7
01/05/2004,210.2
01/06/2004,210.7
01/07/2004,211.2
01/08/2004,211.9
01/09/2004,212.4
01/10/2004,212.8
01/11/2004,213.2
01/12/2004,213.9
01/01/2005,214.5
01/02/2005,215
01/03/2005,215.5
01/04/2005,216
01/05/2005,216.4
01/06/2005,216.8
01/07/2005,217.5
01/08/2005,218
01/09/2005,218.6
01/10/2005,219.3
01/11/2005,220
01/12/2005,220.5
01/01/2006,220.9
01/02/2006,221.6
01/03/2006,222.3
01/04/2006,222.9
01/05/2006,223.6
01/06/2006,224.4
01/07/2006,225.2
01/08/2006,226.2
01/09/2006,227.1
01/10/2006,228
01/11/2006,228.9
01/12/2006,230
01/01/2007,230.806
01/02/2007,231.739
01/03/2007,232.495
01/04/2007,232.98
01/05/2007,233.549
01/06/2007,234.071
01/07/2007,234.732
01/08/2007,235.311
01/09/2007,236.058
01/10/2007,237.135
01/11/2007,238.169
01/12/2007,239.102
01/01/2008,239.85
01/02/2008,240.325
01/03/2008,240.874
01/04/2008,241.474
01/05/2008,241.803
01/06/2008,242.64
01/07/2008,243.367
01/08/2008,244.181
01/09/2008,244.926
01/10/2008,245.855
01/11/2008,246.681
01/12/2008,247.278
01/01/2009,247.974
01/02/2009,248.305
01/03/2009,248.639
01/04/2009,248.899
01/05/2009,249.069
01/06/2009,249.092
01/07/2009,248.994
01/08/2009,249.029
01/09/2009,248.965
01/10/2009,248.888
01/11/2009,248.886
01/12/2009,248.999
01/01/2010,249.144
01/02/2010,249.017
01/03/2010,249.089
01/04/2010,249.012
01/05/2010,248.925
01/06/2010,248.999
01/07/2010,249.126
01/08/2010,249.024
01/09/2010,249.368
01/10/2010,249.618
01/11/2010,250.317
01/12/2010,250.986
01/01/2011,251.555
01/02/2011,251.829
01/03/2011,252.145
01/04/2011,252.221
01/05/2011,252.393
01/06/2011,252.592
01/07/2011,253.085
01/08/2011,254.003
01/09/2011,254.628
01/10/2011,255.651
01/11/2011,256.367
01/12/2011,257.189
01/01/2012,257.714
01/02/2012,258.184
01/03/2012,258.569
01/04/2012,258.922
01/05/2012,259.231
01/06/2012,259.407
01/07/2012,260.107
01/08/2012,260.677
01/09/2012,261.421
01/10/2012,262.707
01/11/2012,263.365
01/12/2012,264.098
01/01/2013,264.7
01/02/2013,265.256
01/03/2013,265.821
01/04/2013,265.984
01/05/2013,266.559
01/06/2013,266.905
01/07/2013,267.482
01/08/2013,268.505
01/09/2013,269.137
01/10/2013,269.96
01/11/2013,270.698
01/12/2013,271.688
01/01/2014,272.317
01/02/2014,272.733
01/03/2014,273.486
01/04/2014,274.1
01/05/2014,274.71
01/06/2014,275.321
01/07/2014,276.248
01/08/2014,277.048
01/09/2014,277.998
01/10/2014,278.985
01/11/2014,280.123
01/12/2014,280.874
01/01/2015,281.572
01/02/2015,282.389
01/03/2015,283.13
01/04/2015,283.598
01/05/2015,284.245
01/06/2015,285.031
01/07/2015,286.09
01/08/2015,287.068
01/09/2015,288.306
01/10/2015,289.428
01/11/2015,290.322
01/12/2015,291.204
01/01/2016,292.004
01/02/2016,292.777
01/03/2016,293.489
01/04/2016,294.175
01/05/2016,295.036
01/06/2016,295.902
01/07/2016,296.862
01/08/2016,297.916
01/09/2016,298.962
01/10/2016,300.4
01/11/2016,301.587
01/12/2016,302.735
01/01/2017,303.467
01/02/2017,304.211
01/03/2017,304.868
01/04/2017,305.477
01/05/2017,306.379
01/06/2017,307.314
01/07/2017,308.173
01/08/2017,309.479
01/09/2017,310.268
01/10/2017,311.501
01/11/2017,312.67
01/12/2017,313.904
01/01/2018,314.788
01/02/2018,315.277
01/03/2018,315.883
01/04/2018,316.763
01/05/2018,317.49
01/06/2018,318.318
01/07/2018,319.351
01/08/2018,320.651
01/09/2018,321.533
01/10/2018,322.628
01/11/2018,323.968
01/12/2018,324.815
01/01/2019,325.597
01/02/2019,326.351
01/03/2019,327.513
01/04/2019,328.678
01/05/2019,329.333
01/06/2019,330.648
01/07/2019,331.605
01/08/2019,332.638
01/09/2019,333.834
01/10/2019,334.68
01/11/2019,335.819
01/12/2019,336.789
01/01/2020,337.825
01/02/2020,338.616
01/03/2020,339.519
01/04/2020,340.135
01/05/2020,340.811
01/06/2020,341.294
01/07/2020,341.95
01/08/2020,342.444
01/09/2020,342.91
01/10/2020,343.615
01/11/2020,344.039
01/12/2020,344.455
01/01/2021,344.758
01/02/2021,345.242
01/03/2021,345.717
01/04/2021,346.267
01/05/2021,347.016
01/06/2021,347.833
01/07/2021,348.469
01/08/2021,349.71
01/09/2021,351.255
01/10/2021,352.892
01/11/2021,354.526
01/12/2021,355.931
01/01/2022,357.737
01/02/2022,359.627
01/03/2022,361.083
01/04/2022,362.951
01/05/2022,365.116
01/06/2022,367.927
01/07/2022,370.448
01/08/2022,373.283
01/09/2022,376.569
01/10/2022,379.436
01/11/2022,382.562
01/12/2022,385.649
