DATE,WPUSI012011
01/01/2002,142
01/02/2002,142.2
01/03/2002,143.2
01/04/2002,143.5
01/05/2002,143.8
01/06/2002,144.3
01/07/2002,144.7
01/08/2002,145.1
01/09/2002,145.4
01/10/2002,145
01/11/2002,144.6
01/12/2002,144.3
01/01/2003,144.4
01/02/2003,145.2
01/03/2003,145.2
01/04/2003,145.9
01/05/2003,145.8
01/06/2003,146.1
01/07/2003,147
01/08/2003,147.2
01/09/2003,149
01/10/2003,149.6
01/11/2003,150.2
01/12/2003,149.7
01/01/2004,150
01/02/2004,153.4
01/03/2004,156.5
01/04/2004,160.1
01/05/2004,162.7
01/06/2004,162
01/07/2004,162.2
01/08/2004,165.9
01/09/2004,167.2
01/10/2004,165.9
01/11/2004,165.5
01/12/2004,166.3
01/01/2005,168.6
01/02/2005,170.4
01/03/2005,170
01/04/2005,170
01/05/2005,168.1
01/06/2005,167.8
01/07/2005,167.2
01/08/2005,165.9
01/09/2005,168.9
01/10/2005,171.6
01/11/2005,172.7
01/12/2005,173.5
01/01/2006,177.2
01/02/2006,177.7
01/03/2006,178.3
01/04/2006,179
01/05/2006,179.9
01/06/2006,180.7
01/07/2006,182.3
01/08/2006,182.6
01/09/2006,183.3
01/10/2006,182.3
01/11/2006,179.8
01/12/2006,179.8
01/01/2007,181.1
01/02/2007,181.5
01/03/2007,182.5
01/04/2007,183.7
01/05/2007,184
01/06/2007,184
01/07/2007,184.2
01/08/2007,183.9
01/09/2007,183.4
01/10/2007,183
01/11/2007,183.3
01/12/2007,183.5
01/01/2008,184.3
01/02/2008,185.7
01/03/2008,187.8
01/04/2008,190.9
01/05/2008,195.8
01/06/2008,200.4
01/07/2008,203.4
01/08/2008,206.5
01/09/2008,206.3
01/10/2008,201.8
01/11/2008,199.6
01/12/2008,194.8
01/01/2009,193.3
01/02/2009,191.2
01/03/2009,190.2
01/04/2009,188.1
01/05/2009,186.9
01/06/2009,187.1
01/07/2009,187.6
01/08/2009,188.1
01/09/2009,189.3
01/10/2009,189.7
01/11/2009,189.2
01/12/2009,189.4
01/01/2010,190.3
01/02/2010,192.2
01/03/2010,193.7
01/04/2010,196.5
01/05/2010,198.9
01/06/2010,197.2
01/07/2010,195.6
01/08/2010,194.1
01/09/2010,193.9
01/10/2010,193.8
01/11/2010,193.6
01/12/2010,194.2
01/01/2011,195.9
01/02/2011,198.1
01/03/2011,199.7
01/04/2011,201.1
01/05/2011,201.6
01/06/2011,201.9
01/07/2011,202.6
01/08/2011,202.8
01/09/2011,202.7
01/10/2011,202.7
01/11/2011,202.2
01/12/2011,202.2
01/01/2012,203.9
01/02/2012,205.1
01/03/2012,205.7
01/04/2012,206.3
01/05/2012,206.5
01/06/2012,206.6
01/07/2012,206.2
01/08/2012,205.5
01/09/2012,206.6
01/10/2012,205.5
01/11/2012,205.6
01/12/2012,206.4
01/01/2013,208.4
01/02/2013,209.1
01/03/2013,209.8
01/04/2013,210.7
01/05/2013,209.5
01/06/2013,208.8
01/07/2013,208.3
01/08/2013,208.9
01/09/2013,208.9
01/10/2013,209.3
01/11/2013,209.8
01/12/2013,209.8
01/01/2014,211.7
01/02/2014,212.7
01/03/2014,213.4
01/04/2014,213.6
01/05/2014,214.3
01/06/2014,214.5
01/07/2014,214.8
01/08/2014,215.5
01/09/2014,215.7
01/10/2014,215.9
01/11/2014,215.8
01/12/2014,215.5
01/01/2015,215.8
01/02/2015,215.3
01/03/2015,215
01/04/2015,214.5
01/05/2015,213.7
01/06/2015,213.7
01/07/2015,213.7
01/08/2015,213.3
01/09/2015,212.5
01/10/2015,212.4
01/11/2015,211.7
01/12/2015,210.9
01/01/2016,211.4
01/02/2016,211.3
01/03/2016,211.6
01/04/2016,212.7
01/05/2016,213.7
01/06/2016,214.6
01/07/2016,215.3
01/08/2016,216
01/09/2016,215.3
01/10/2016,214.8
01/11/2016,214.5
01/12/2016,215.5
01/01/2017,217.3
01/02/2017,218.8
01/03/2017,219.7
01/04/2017,221
01/05/2017,221.7
01/06/2017,221.9
01/07/2017,221.9
01/08/2017,222.4
01/09/2017,223.1
01/10/2017,223.9
01/11/2017,223.9
01/12/2017,224.1
01/01/2018,225.8
01/02/2018,228.7
01/03/2018,231.3
01/04/2018,232.4
01/05/2018,236.8
01/06/2018,239.2
01/07/2018,239.6
01/08/2018,239.4
01/09/2018,240
01/10/2018,238.7
01/11/2018,238.8
01/12/2018,238.3
01/01/2019,238.5
01/02/2019,238.1
01/03/2019,238.1
01/04/2019,237.2
01/05/2019,237.3
01/06/2019,236.3
01/07/2019,235.6
01/08/2019,234.4
01/09/2019,234.4
01/10/2019,233.8
01/11/2019,232.8
01/12/2019,232.2
01/01/2020,233.4
01/02/2020,234.6
01/03/2020,236.3
01/04/2020,234.3
01/05/2020,233.3
01/06/2020,234.8
01/07/2020,237
01/08/2020,240.9
01/09/2020,246.9
01/10/2020,246.4
01/11/2020,244.3
01/12/2020,248
01/01/2021,256.4
01/02/2021,264.6
01/03/2021,276.7
01/04/2021,291.8
01/05/2021,305.9
01/06/2021,315.7
01/07/2021,313.542
01/08/2021,313.083
01/09/2021,317.136
01/10/2021,322.12
01/11/2021,328.94
01/12/2021,335.032
01/01/2022,345.742
01/02/2022,343.583
01/03/2022,345.852
01/04/2022,343.786
01/05/2022,353.015
01/06/2022,349.8
01/07/2022,346.79
01/08/2022,342.753
01/09/2022,336.464
01/10/2022,333.796
01/11/2022,330.369
01/12/2022,326.449
