DATE,EMRATIO
01/01/2002,62.7
01/02/2002,63
01/03/2002,62.8
01/04/2002,62.7
01/05/2002,62.9
01/06/2002,62.7
01/07/2002,62.7
01/08/2002,62.7
01/09/2002,63
01/10/2002,62.7
01/11/2002,62.5
01/12/2002,62.4
01/01/2003,62.5
01/02/2003,62.5
01/03/2003,62.4
01/04/2003,62.4
01/05/2003,62.3
01/06/2003,62.3
01/07/2003,62.1
01/08/2003,62.1
01/09/2003,62
01/10/2003,62.1
01/11/2003,62.3
01/12/2003,62.2
01/01/2004,62.3
01/02/2004,62.3
01/03/2004,62.2
01/04/2004,62.3
01/05/2004,62.3
01/06/2004,62.4
01/07/2004,62.5
01/08/2004,62.4
01/09/2004,62.3
01/10/2004,62.3
01/11/2004,62.5
01/12/2004,62.4
01/01/2005,62.4
01/02/2005,62.4
01/03/2005,62.4
01/04/2005,62.7
01/05/2005,62.8
01/06/2005,62.7
01/07/2005,62.8
01/08/2005,62.9
01/09/2005,62.8
01/10/2005,62.8
01/11/2005,62.7
01/12/2005,62.8
01/01/2006,62.9
01/02/2006,63
01/03/2006,63.1
01/04/2006,63
01/05/2006,63.1
01/06/2006,63.1
01/07/2006,63
01/08/2006,63.1
01/09/2006,63.1
01/10/2006,63.3
01/11/2006,63.3
01/12/2006,63.4
01/01/2007,63.3
01/02/2007,63.3
01/03/2007,63.3
01/04/2007,63
01/05/2007,63
01/06/2007,63
01/07/2007,62.9
01/08/2007,62.7
01/09/2007,62.9
01/10/2007,62.7
01/11/2007,62.9
01/12/2007,62.7
01/01/2008,62.9
01/02/2008,62.8
01/03/2008,62.7
01/04/2008,62.7
01/05/2008,62.5
01/06/2008,62.4
01/07/2008,62.2
01/08/2008,62
01/09/2008,61.9
01/10/2008,61.7
01/11/2008,61.4
01/12/2008,61
01/01/2009,60.6
01/02/2009,60.3
01/03/2009,59.9
01/04/2009,59.8
01/05/2009,59.6
01/06/2009,59.4
01/07/2009,59.3
01/08/2009,59.1
01/09/2009,58.7
01/10/2009,58.5
01/11/2009,58.6
01/12/2009,58.3
01/01/2010,58.5
01/02/2010,58.5
01/03/2010,58.5
01/04/2010,58.7
01/05/2010,58.6
01/06/2010,58.5
01/07/2010,58.5
01/08/2010,58.6
01/09/2010,58.5
01/10/2010,58.3
01/11/2010,58.2
01/12/2010,58.3
01/01/2011,58.3
01/02/2011,58.4
01/03/2011,58.4
01/04/2011,58.4
01/05/2011,58.3
01/06/2011,58.2
01/07/2011,58.2
01/08/2011,58.3
01/09/2011,58.4
01/10/2011,58.4
01/11/2011,58.6
01/12/2011,58.6
01/01/2012,58.4
01/02/2012,58.5
01/03/2012,58.5
01/04/2012,58.4
01/05/2012,58.5
01/06/2012,58.6
01/07/2012,58.5
01/08/2012,58.4
01/09/2012,58.7
01/10/2012,58.8
01/11/2012,58.7
01/12/2012,58.7
01/01/2013,58.6
01/02/2013,58.6
01/03/2013,58.5
01/04/2013,58.6
01/05/2013,58.6
01/06/2013,58.6
01/07/2013,58.7
01/08/2013,58.7
01/09/2013,58.7
01/10/2013,58.3
01/11/2013,58.6
01/12/2013,58.7
01/01/2014,58.8
01/02/2014,58.7
01/03/2014,58.9
01/04/2014,58.9
01/05/2014,58.9
01/06/2014,59
01/07/2014,59
01/08/2014,59
01/09/2014,59.1
01/10/2014,59.3
01/11/2014,59.2
01/12/2014,59.3
01/01/2015,59.3
01/02/2015,59.2
01/03/2015,59.2
01/04/2015,59.3
01/05/2015,59.4
01/06/2015,59.4
01/07/2015,59.3
01/08/2015,59.4
01/09/2015,59.2
01/10/2015,59.3
01/11/2015,59.4
01/12/2015,59.6
01/01/2016,59.7
01/02/2016,59.8
01/03/2016,59.8
01/04/2016,59.7
01/05/2016,59.7
01/06/2016,59.7
01/07/2016,59.8
01/08/2016,59.8
01/09/2016,59.7
01/10/2016,59.7
01/11/2016,59.7
01/12/2016,59.7
01/01/2017,59.9
01/02/2017,60
01/03/2017,60.2
01/04/2017,60.2
01/05/2017,60.1
01/06/2017,60.1
01/07/2017,60.2
01/08/2017,60.1
01/09/2017,60.4
01/10/2017,60.1
01/11/2017,60.1
01/12/2017,60.1
01/01/2018,60.1
01/02/2018,60.4
01/03/2018,60.4
01/04/2018,60.4
01/05/2018,60.5
01/06/2018,60.5
01/07/2018,60.6
01/08/2018,60.3
01/09/2018,60.4
01/10/2018,60.5
01/11/2018,60.6
01/12/2018,60.6
01/01/2019,60.6
01/02/2019,60.7
01/03/2019,60.6
01/04/2019,60.6
01/05/2019,60.6
01/06/2019,60.7
01/07/2019,60.8
01/08/2019,60.8
01/09/2019,61
01/10/2019,61
01/11/2019,61
01/12/2019,61
01/01/2020,61.1
01/02/2020,61.1
01/03/2020,59.8
01/04/2020,51.3
01/05/2020,52.7
01/06/2020,54.7
01/07/2020,55.2
01/08/2020,56.5
01/09/2020,56.6
01/10/2020,57.4
01/11/2020,57.4
01/12/2020,57.4
01/01/2021,57.5
01/02/2021,57.6
01/03/2021,57.8
01/04/2021,57.9
01/05/2021,58
01/06/2021,58
01/07/2021,58.4
01/08/2021,58.6
01/09/2021,58.8
01/10/2021,59
01/11/2021,59.4
01/12/2021,59.5
01/01/2022,59.7
01/02/2022,59.8
01/03/2022,60.1
01/04/2022,59.9
01/05/2022,60
01/06/2022,59.9
01/07/2022,59.9
01/08/2022,60.1
01/09/2022,60.1
01/10/2022,60
01/11/2022,59.9
01/12/2022,60.1
